model,samples,positives,threshold,precision,recall,f1,pr_auc,roc_auc,brier_score,false_positive_rate,false_negative_rate,confusion_matrix,total_cost,cost_per_transaction,review_count,review_rate,false_flags,approved_fraud,reviewed_fraud,expected_review_misses,review_threshold,flag_threshold
logistic_regression,6000,136,0.42,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.42,0.42
logistic_regression,6000,136,0.43,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.43,0.43
logistic_regression,6000,136,0.44,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.44,0.44
logistic_regression,6000,136,0.45,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.45,0.45
logistic_regression,6000,136,0.46,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.46,0.46
logistic_regression,6000,136,0.47000000000000003,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.47000000000000003,0.47000000000000003
logistic_regression,6000,136,0.48,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.48,0.48
logistic_regression,6000,136,0.49,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.49,0.49
logistic_regression,6000,136,0.5,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.5,0.5
logistic_regression,6000,136,0.51,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.51,0.51
logistic_regression,6000,136,0.52,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.52,0.52
logistic_regression,6000,136,0.53,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.53,0.53
logistic_regression,6000,136,0.54,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.54,0.54
